name;goals_top5l;games_start;assists;shots_tot;shots_on_gs;rank
gomis;44;103;17;394;130;379
briand;29;106;24;246;85;311
gignac;43;109;14;451;180;221
brandao;15;62;6;167;59;464
remy;28;75;5;248;82;125
ayew;3;36;4;38;16;166
nene2;40;181;28;426;151;76
hoarau;23;70;5;154;67;317
aubameyang;2;27;10;24;15;455
erding;37;90;10;275;128;104
riviera;9;21;4;55;26;354
giroud;0;61;0;31;30;876
camara;10;63;3;71;53;768
ait-fana;5;44;4;47;24;1156
modeste;3;54;0;86;41;1300
goufran;17;81;14;178;67;636
gameiro;34;93;14;251;107;209
kitambala;13;28;1;20;5;814
maiga;15;53;15;111;36;333
pentecote;0;14;1;22;15;2249
ideye;2;17;0;41;16;317
roux;0;30;0;45;15;913
poyet;0;71;0;20;10;1134
el-arabi;0;23;0;25;11;857
traore;0;44;1;39;22;1320
hadijt;30;102;11;270;97;302
vahirua;23;93;21;213;87;1163
ljuboja;16;39;3;135;49;713
pujol;28;95;12;230;81;365
samassa;13;40;5;76;27;1478
jelen;43;98;6;252;117;308
licata;7;11;2;50;18;2467
quercia;6;40;2;98;22;1384
niculae;15;98;13;233;90;566
chu-yang;13;57;9;103;41;592
jemaa;10;44;1;93;41;1430
dos santos;5;74;2;55;26;2354
djadjede;1;40;0;21;7;1125
